date,total_tokens,input_tokens,output_tokens,block_count,device_count,devices
2025-10-27,46410778,44843,42696,2,1,mac-work
2025-10-28,59106836,40584,81916,2,1,mac-work
2025-10-29,25959600,13818,28937,2,1,mac-work
2025-10-30,43401789,62459,67729,2,1,mac-work
2025-10-31,1450796,3869,2602,2,1,mac-work
2025-11-03,3985232,34797,11095,2,1,mac-work
2025-11-04,8996581,8370,12877,1,1,mac-work
2025-11-05,6159921,21818,15828,1,1,mac-work
2025-11-06,20681242,52373,67324,3,1,mac-work
2025-11-07,34042667,72460,85078,2,1,mac-work
2025-11-10,44816273,81193,148360,2,1,mac-work
2025-11-11,52615040,88737,599397,2,1,mac-work
2025-11-12,35521280,96074,366532,3,1,mac-work
2025-11-13,83206522,100374,539793,2,1,mac-work
2025-11-14,52216735,54100,366471,2,1,mac-work
2025-11-17,56232693,190771,736327,2,1,mac-work
2025-11-18,80613075,84775,886341,2,1,mac-work
2025-11-19,33275520,31926,224135,2,1,mac-work
2025-11-20,224730689,267486,2539741,3,1,mac-work
2025-11-21,427715754,458183,2953546,5,1,mac-work
2025-11-22,606974789,370149,1663095,5,1,mac-work
2025-11-23,168309341,472001,622297,3,1,mac-work
2025-11-24,200519185,242429,416172,2,1,mac-work
2025-11-25,126261633,167687,311783,2,1,mac-work
