date,input_tokens,output_tokens,cache_creation_tokens,cache_read_tokens,total_tokens,models,session_count
2025-10-27,44843,42696,5407404,40915835,46410778,"<synthetic>,claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929",5
2025-10-28,40584,81916,4863117,54121219,59106836,"<synthetic>,claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929",25
2025-10-29,13818,28937,3165593,22751252,25959600,"<synthetic>,claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929",9
2025-10-30,62459,67729,3250388,40021213,43401789,"claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929",33
2025-10-31,3869,2602,197978,1246347,1450796,"claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929",5
2025-11-03,34797,11095,653733,3285607,3985232,"claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929",22
2025-11-04,8370,12877,991481,7983853,8996581,"<synthetic>,claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929",10
2025-11-05,21818,15828,832892,5289383,6159921,"<synthetic>,claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929",26
2025-11-06,52373,67324,2784000,17777545,20681242,"<synthetic>,claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929",45
2025-11-07,72460,85078,3389128,30496001,34042667,"<synthetic>,claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929",63
2025-11-10,81193,148360,4519587,40067133,44816273,"<synthetic>,claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929",74
2025-11-11,88737,599397,5028784,46898122,52615040,"<synthetic>,claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929",95
2025-11-12,96074,366532,3620801,31437873,35521280,"<synthetic>,claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929",58
2025-11-13,100374,539793,8530977,74035378,83206522,"<synthetic>,claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929",69
2025-11-14,54100,366471,4335208,47460956,52216735,"claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929",16
2025-11-17,190771,736327,5248874,50056721,56232693,"<synthetic>,claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929",76
2025-11-18,84775,886341,6196789,73445170,80613075,"claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929",68
2025-11-19,31926,224135,1289697,31729762,33275520,"claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929",14
2025-11-20,267486,2539741,17040677,204882785,224730689,"<synthetic>,claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929",130
2025-11-21,458183,2953546,24454853,399849172,427715754,"<synthetic>,claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929",93
2025-11-22,370149,1663095,23542041,581399504,606974789,"<synthetic>,claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929",140
2025-11-23,472001,622297,11240288,155974755,168309341,"<synthetic>,claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929",103
2025-11-24,242429,416172,9628397,190232187,200519185,"<synthetic>,claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929",93
2025-11-25,167685,303465,7602507,113885459,121959116,"<synthetic>,claude-haiku-4-5-20251001,claude-opus-4-5-20251101,claude-sonnet-4-5-20250929",65
